Measurement,Unit,Latitude,Longitude,Date,Oceans,Regions,SubRegions,Sampling Method,Density Class
0.0,pieces/m3,12.63,-61.63,1996-12-11,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,12.49,-61.68,1993-12-07,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.022,pieces/m3,3.017,-117.033,1987-09-16,Pacific Ocean,,,Manta net,Medium
1410.437236,pieces/m3,18.270009,-103.346377,2018-06-04,Pacific Ocean,,,PVC cylinder,Medium
0.0,pieces/m3,17.73,-75.85,1995-02-26,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.009256,pieces/m3,16.8,-74.29,2004-12-17,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.00432,pieces/m3,17.35,-77.3,1991-03-13,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.00432,pieces/m3,17.1,-85.95,2003-04-23,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.0,pieces/m3,19.24,-143.41,2005-02-27,Pacific Ocean,,,Neuston net,Very Low
0.060476,pieces/m3,26.21,-144.53,2005-07-12,Pacific Ocean,,,Neuston net,Medium
3.226456,pieces/m3,33.08,-147.02,2012-10-13,Pacific Ocean,,,Neuston net,High
0.050022,pieces/m3,37.061167,12.1335,2020-11-26,Atlantic Ocean,Mediterranean Sea,Eastern Basin,Manta net,Medium
0.099286,pieces/m3,41.0169,11.5414,2014-10-07,Atlantic Ocean,Mediterranean Sea,Tyrrhenian Sea,Manta net,Medium
0.082305,pieces/m3,40.038611,17.975556,2021-04-25,Atlantic Ocean,Mediterranean Sea,Ionian Sea,Manta net,Medium
0.112084,pieces/m3,5.28,-146.64,2004-05-16,Pacific Ocean,,,Neuston net,Medium
0.009605,pieces/m3,57.965833,-5.779833,2020-01-09,Atlantic Ocean,Inner Seas off the West Coast of Scotland,,Neuston net,Medium
0.383834,pieces/m3,33.7467,-131.7753,2018-10-06,Pacific Ocean,,,Manta net,Medium
2.958448,pieces/m3,32.4368,-133.8719,2015-09-12,Pacific Ocean,,,Manta net,High
5.809413,pieces/m3,37.5533,-140.9014,2015-08-13,Pacific Ocean,,,Manta net,High
3.378668,pieces/m3,33.919014,10.128889,2019-04-23,Atlantic Ocean,Mediterranean Sea,Eastern Basin,Manta net,High
0.182944,pieces/m3,38.5197,-8.89348,2018-12-06,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,42.37,-69.4,2006-07-30,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,42.35,-69.43,1997-07-01,Atlantic Ocean,,,Neuston net,Very Low
0.00648,pieces/m3,42.41,-70.6,2004-08-11,Atlantic Ocean,,,Neuston net,Medium
